;Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
0;MLPClassifier;0.8261;0.8369;0.8261;0.8267;0.8116;0.8088;0.8116;0.81;0.9167;0.9167;0.9167;0.9167;smote;250;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 440, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=440)
0;RandomForestClassifier;0.9323;0.9351;0.9323;0.9326;0.913;0.9189;0.913;0.9138;0.9;0.9015;0.9;0.9004;smote;250;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 939};RandomForestClassifier(n_estimators=20, random_state=939)
0;RandomForestClassifier;0.9147;0.9186;0.9147;0.9145;0.8696;0.8751;0.8696;0.8677;0.9;0.9061;0.9;0.9015;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 612};RandomForestClassifier(n_estimators=20, random_state=612)
4;RandomForestClassifier;0.9276;0.9311;0.9276;0.9279;0.8986;0.9127;0.8986;0.9007;0.9;0.9019;0.9;0.8999;smote;250;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 322};RandomForestClassifier(n_estimators=20, random_state=322)
3;RandomForestClassifier;0.9243;0.9287;0.9243;0.9239;0.8841;0.8861;0.8841;0.8831;0.9;0.9019;0.9;0.8999;smote;250;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 939};RandomForestClassifier(n_estimators=20, random_state=939)
2;RandomForestClassifier;0.9195;0.9235;0.9195;0.9196;0.913;0.9142;0.913;0.9133;0.9;0.9019;0.9;0.8999;smote;250;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 939};RandomForestClassifier(n_estimators=10, random_state=939)
1;RandomForestClassifier;0.9242;0.9272;0.9242;0.9244;0.8841;0.8887;0.8841;0.8852;0.9;0.9021;0.9;0.8999;smote;250;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 939};RandomForestClassifier(n_estimators=20, random_state=939)
1;RandomForestClassifier;0.8277;0.8395;0.8277;0.8285;0.7826;0.7817;0.7826;0.7811;0.8833;0.8844;0.8833;0.8828;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 366};RandomForestClassifier(n_estimators=20, random_state=366)
10;RandomForestClassifier;0.9291;0.9309;0.9291;0.929;0.8841;0.8839;0.8841;0.8837;0.8833;0.886;0.8833;0.8832;smote;250;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 178};RandomForestClassifier(n_estimators=20, random_state=178)
11;RandomForestClassifier;0.9243;0.9279;0.9243;0.9246;0.8986;0.9049;0.8986;0.8999;0.8833;0.886;0.8833;0.8832;smote;250;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 939};RandomForestClassifier(n_estimators=20, random_state=939)
