Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
MLPClassifier;0.8667;0.8702;0.8667;0.8664;0.8675;0.871;0.8675;0.8674;0.8333;0.8417;0.8333;0.832;smote;5000;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 948, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=948)
RandomForestClassifier;0.8883;0.8888;0.8883;0.8882;0.8956;0.8958;0.8956;0.8956;0.8333;0.8447;0.8333;0.8315;smote;5000;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 803};RandomForestClassifier(n_estimators=20, random_state=803)
KNeighborsClassifier;0.8524;0.8564;0.8524;0.8522;0.8614;0.87;0.8614;0.8616;0.8333;0.8482;0.8333;0.83;smote;5000;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 11, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=11, weights='distance')
MLPClassifier;0.8596;0.8645;0.8596;0.8591;0.8447;0.8575;0.8447;0.8445;0.8167;0.8189;0.8167;0.8174;smote;5000;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 948, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=948)
MLPClassifier;0.8718;0.8741;0.8718;0.8717;0.8748;0.8762;0.8748;0.8747;0.8167;0.8189;0.8167;0.8174;smote;5000;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 948, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=948)
MLPClassifier;0.8614;0.8656;0.8614;0.8615;0.8367;0.8451;0.8367;0.8354;0.8167;0.8189;0.8167;0.8174;smote;5000;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 524, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=524)
MLPClassifier;0.8672;0.8699;0.8672;0.8673;0.8701;0.871;0.8701;0.87;0.8167;0.8189;0.8167;0.8174;smote;5000;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 524, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=524)
MLPClassifier;0.865;0.8676;0.865;0.865;0.8514;0.8597;0.8514;0.8514;0.8167;0.8189;0.8167;0.8174;smote;5000;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 948, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=948)
MLPClassifier;0.8654;0.8703;0.8654;0.8649;0.8775;0.8804;0.8775;0.8775;0.8167;0.819;0.8167;0.8168;smote;5000;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 524, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=524)
MLPClassifier;0.8604;0.8678;0.8604;0.8598;0.8862;0.8883;0.8862;0.8859;0.8167;0.819;0.8167;0.8168;smote;5000;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 959, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=959)
