Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Hyper Params.,Model
RandomForestClassifier,0.8263,0.8457,0.8263,0.8299,0.826,0.8438,0.826,0.8296,0.75,0.8056,0.75,0.7389,0.9378,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'E']",10,"{'n_estimators': 5, 'random_state': 933}","RandomForestClassifier(n_estimators=5, random_state=933)"
DecisionTreeClassifier,0.8303,0.8483,0.8303,0.8337,0.8086,0.8339,0.8086,0.8124,0.75,0.8056,0.75,0.7389,0.9395,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 371}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=371)"
LogisticRegression,0.7635,0.7858,0.7635,0.7678,0.7644,0.7904,0.7644,0.7694,0.7167,0.7444,0.7167,0.7222,0.9038,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'E']",10,"{'C': 0.1, 'penalty': 'l2', 'random_state': 561, 'solver': 'lbfgs'}","LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=561)"
MLPClassifier,0.8005,0.8346,0.8005,0.8002,0.8005,0.8398,0.8005,0.7998,0.7,0.7761,0.7,0.6865,0.9342,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'E']",10,"{'max_iter': 100000, 'random_state': 540, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=540)"
SVC,0.7893,0.8438,0.7893,0.7874,0.7975,0.8439,0.7975,0.7949,0.7,0.7761,0.7,0.6865,0.9155,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'E']",10,"{'C': 10, 'kernel': 'rbf', 'random_state': 328}","SVC(C=10, probability=True, random_state=328)"
DecisionTreeClassifier,0.8256,0.8459,0.8256,0.8294,0.83,0.845,0.83,0.8331,0.6833,0.6965,0.6833,0.6846,0.9375,smote,5000,no_scaled,"['storyPoints', 'polarity', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 69}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=69)"
KNeighborsClassifier,0.8144,0.8469,0.8144,0.8171,0.7999,0.8286,0.7999,0.8019,0.7,0.723,0.7,0.6824,0.927,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'E']",10,"{'metric': 'minkowski', 'n_neighbors': 13, 'weights': 'distance'}","KNeighborsClassifier(n_neighbors=13, weights='distance')"
SVC,0.7918,0.8456,0.7918,0.7896,0.7932,0.8454,0.7932,0.7903,0.6667,0.7119,0.6667,0.6649,0.9162,smote,5000,no_scaled,"['storyPoints', 'polarity', 'E']",10,"{'C': 10, 'kernel': 'rbf', 'random_state': 805}","SVC(C=10, probability=True, random_state=805)"
KNeighborsClassifier,0.8205,0.8429,0.8205,0.8237,0.8233,0.8464,0.8233,0.8261,0.6667,0.6826,0.6667,0.6613,0.9309,smote,5000,no_scaled,"['storyPoints', 'polarity', 'E']",10,"{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'distance'}","KNeighborsClassifier(n_neighbors=15, weights='distance')"
DecisionTreeClassifier,0.8279,0.8479,0.8279,0.831,0.8189,0.8361,0.8189,0.8225,0.6667,0.6623,0.6667,0.6609,0.929,smote,5000,StandardScaler,"['storyPoints', 'polarity', 'E']",10,"{'max_depth': 5, 'min_samples_leaf': 5, 'random_state': 156}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=5, random_state=156)"
KNeighborsClassifier,0.8255,0.8439,0.8255,0.8286,0.8276,0.8466,0.8276,0.8304,0.6667,0.6689,0.6667,0.6569,0.9309,smote,5000,StandardScaler,"['storyPoints', 'polarity', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=15, p=1,
                     weights='distance')"
MLPClassifier,0.7984,0.8393,0.7984,0.798,0.8025,0.8116,0.8025,0.8053,0.65,0.6511,0.65,0.6449,0.935,smote,5000,no_scaled,"['storyPoints', 'polarity', 'E']",10,"{'max_iter': 100000, 'random_state': 636, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=636)"
RandomForestClassifier,0.8271,0.8456,0.8271,0.8305,0.8246,0.8469,0.8246,0.8286,0.65,0.6599,0.65,0.6432,0.9382,smote,5000,no_scaled,"['storyPoints', 'polarity', 'E']",10,"{'n_estimators': 5, 'random_state': 896}","RandomForestClassifier(n_estimators=5, random_state=896)"
RandomForestClassifier,0.8278,0.8462,0.8278,0.8312,0.8216,0.8438,0.8216,0.8253,0.65,0.6556,0.65,0.6369,0.9389,smote,5000,StandardScaler,"['storyPoints', 'polarity', 'E']",10,"{'n_estimators': 5, 'random_state': 54}","RandomForestClassifier(n_estimators=5, random_state=54)"
LogisticRegression,0.7672,0.7911,0.7672,0.7714,0.758,0.7799,0.758,0.7622,0.6333,0.6472,0.6333,0.6319,0.9082,smote,5000,no_scaled,"['storyPoints', 'polarity', 'E']",10,"{'C': 0.1, 'penalty': 'l2', 'random_state': 537, 'solver': 'lbfgs'}","LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=537)"
