Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
KNeighborsClassifier;0.868;0.8744;0.868;0.8673;0.8986;0.8986;0.8986;0.8986;0.8833;0.8862;0.8833;0.8836;smote;250;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'distance'};"KNeighborsClassifier(metric='manhattan', n_neighbors=13, p=1,
                     weights='distance')"
DecisionTreeClassifier;0.913;0.9194;0.913;0.9135;0.8696;0.8722;0.8696;0.8689;0.8667;0.8692;0.8667;0.8669;smote;250;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 49};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=49)
DecisionTreeClassifier;0.9179;0.9253;0.9179;0.9183;0.913;0.9135;0.913;0.913;0.8667;0.8692;0.8667;0.8669;smote;250;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 599};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=599)
DecisionTreeClassifier;0.9179;0.9226;0.9179;0.918;0.9275;0.9342;0.9275;0.9282;0.8667;0.8673;0.8667;0.8666;smote;250;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 352};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=352)
RandomForestClassifier;0.9163;0.9197;0.9163;0.9164;0.942;0.9441;0.942;0.9419;0.8667;0.869;0.8667;0.8664;smote;250;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 609};RandomForestClassifier(n_estimators=20, random_state=609)
KNeighborsClassifier;0.8792;0.8854;0.8792;0.8778;0.942;0.947;0.942;0.9418;0.8667;0.8665;0.8667;0.8662;smote;250;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'};"KNeighborsClassifier(metric='manhattan', n_neighbors=11, p=1,
                     weights='distance')"
KNeighborsClassifier;0.8695;0.8765;0.8695;0.8679;0.9855;0.9861;0.9855;0.9855;0.8667;0.8665;0.8667;0.8662;smote;250;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'distance'};"KNeighborsClassifier(metric='manhattan', n_neighbors=13, p=1,
                     weights='distance')"
KNeighborsClassifier;0.8743;0.88;0.8743;0.8735;0.8841;0.885;0.8841;0.8825;0.8667;0.8665;0.8667;0.8662;smote;250;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=9, p=1, weights='distance')
DecisionTreeClassifier;0.9163;0.9247;0.9163;0.9166;0.8406;0.8592;0.8406;0.8419;0.8667;0.8724;0.8667;0.8662;smote;250;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 10, 'random_state': 599};DecisionTreeClassifier(max_depth=10, min_samples_leaf=10, random_state=599)
KNeighborsClassifier;0.8953;0.8995;0.8953;0.8946;0.8116;0.8085;0.8116;0.8093;0.8667;0.8665;0.8667;0.8662;smote;250;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'};"KNeighborsClassifier(metric='manhattan', n_neighbors=11, p=1,
                     weights='distance')"
KNeighborsClassifier;0.8873;0.8959;0.8873;0.8863;0.8551;0.8591;0.8551;0.8546;0.8667;0.8665;0.8667;0.8662;smote;250;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')
KNeighborsClassifier;0.905;0.9108;0.905;0.904;0.8841;0.8959;0.8841;0.8844;0.8667;0.8665;0.8667;0.8662;smote;250;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=7, weights='distance')
KNeighborsClassifier;0.876;0.8811;0.876;0.8746;0.913;0.9228;0.913;0.9114;0.8667;0.8665;0.8667;0.8662;smote;250;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
MLPClassifier;0.8582;0.8713;0.8582;0.8566;0.8696;0.8854;0.8696;0.8676;0.8667;0.8699;0.8667;0.8659;smote;250;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 189, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=189)
MLPClassifier;0.8503;0.8654;0.8503;0.8508;0.8696;0.8673;0.8696;0.8676;0.8667;0.8699;0.8667;0.8659;smote;250;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 189, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=189)
RandomForestClassifier;0.9227;0.9276;0.9227;0.9231;0.913;0.9126;0.913;0.9117;0.8667;0.8731;0.8667;0.8651;smote;250;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 188};RandomForestClassifier(n_estimators=20, random_state=188)
RandomForestClassifier;0.9211;0.9246;0.9211;0.9209;0.9565;0.9565;0.9565;0.9565;0.8667;0.8731;0.8667;0.8651;smote;250;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 651};RandomForestClassifier(n_estimators=20, random_state=651)
RandomForestClassifier;0.9275;0.9312;0.9275;0.9273;0.9275;0.9274;0.9275;0.9272;0.8667;0.8736;0.8667;0.865;smote;250;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 651};RandomForestClassifier(n_estimators=20, random_state=651)
KNeighborsClassifier;0.8841;0.889;0.8841;0.8836;0.8841;0.8885;0.8841;0.8852;0.8667;0.8651;0.8667;0.8648;smote;250;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=7, weights='distance')
KNeighborsClassifier;0.8728;0.8787;0.8728;0.8713;0.8696;0.8701;0.8696;0.8695;0.85;0.8523;0.85;0.8508;smote;250;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
KNeighborsClassifier;0.8777;0.8824;0.8777;0.8768;0.913;0.9216;0.913;0.9126;0.85;0.8523;0.85;0.8508;smote;250;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')
MLPClassifier;0.8536;0.8678;0.8536;0.854;0.8986;0.9018;0.8986;0.8983;0.85;0.8634;0.85;0.8505;smote;250;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 906, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=906)
DecisionTreeClassifier;0.926;0.9309;0.926;0.9262;0.8406;0.8454;0.8406;0.835;0.85;0.8514;0.85;0.8504;smote;250;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 599};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=599)
