Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;AUC;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
RandomForestClassifier;0.8696;0.8744;0.8696;0.8701;0.8403;0.8398;0.8403;0.8398;0.9;0.906;0.9;0.9005;0.9649;smote;500;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 61};RandomForestClassifier(n_estimators=20, random_state=61)
DecisionTreeClassifier;0.8711;0.8783;0.8711;0.8721;0.8611;0.8658;0.8611;0.8623;0.8667;0.8722;0.8667;0.8667;0.9559;smote;500;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 10, 'random_state': 272};DecisionTreeClassifier(max_depth=10, min_samples_leaf=10, random_state=272)
DecisionTreeClassifier;0.8665;0.8745;0.8665;0.8674;0.8611;0.8704;0.8611;0.8628;0.8667;0.8675;0.8667;0.8656;0.9545;smote;500;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 943};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=943)
RandomForestClassifier;0.8665;0.8716;0.8665;0.8671;0.8958;0.9011;0.8958;0.8967;0.85;0.8564;0.85;0.8508;0.9681;smote;500;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 146};RandomForestClassifier(n_estimators=10, random_state=146)
RandomForestClassifier;0.8727;0.8779;0.8727;0.8733;0.8264;0.8362;0.8264;0.8297;0.85;0.8554;0.85;0.8504;0.9686;smote;500;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 641};RandomForestClassifier(n_estimators=20, random_state=641)
RandomForestClassifier;0.8642;0.869;0.8642;0.8649;0.8819;0.8906;0.8819;0.8818;0.85;0.8565;0.85;0.8493;0.9661;smote;500;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 641};RandomForestClassifier(n_estimators=20, random_state=641)
RandomForestClassifier;0.8612;0.8668;0.8612;0.8622;0.875;0.8805;0.875;0.8752;0.85;0.8565;0.85;0.8493;0.9651;smote;500;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 641};RandomForestClassifier(n_estimators=10, random_state=641)
DecisionTreeClassifier;0.8557;0.8657;0.8557;0.8571;0.8542;0.853;0.8542;0.8535;0.85;0.8577;0.85;0.8488;0.9576;smote;500;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 20, 'random_state': 366};DecisionTreeClassifier(max_depth=10, min_samples_leaf=20, random_state=366)
DecisionTreeClassifier;0.855;0.8622;0.855;0.856;0.8681;0.8892;0.8681;0.8678;0.85;0.8518;0.85;0.8483;0.95;smote;500;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 10, 'random_state': 272};DecisionTreeClassifier(max_depth=10, min_samples_leaf=10, random_state=272)
MLPClassifier;0.8504;0.8587;0.8504;0.8517;0.8264;0.833;0.8264;0.8286;0.8333;0.8365;0.8333;0.8339;0.9609;smote;500;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 570, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=570)
DecisionTreeClassifier;0.8704;0.8754;0.8704;0.8709;0.8333;0.8405;0.8333;0.8354;0.8333;0.8458;0.8333;0.8338;0.9568;smote;500;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 943};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=943)
MLPClassifier;0.848;0.8577;0.848;0.8491;0.8472;0.8459;0.8472;0.8464;0.8333;0.8524;0.8333;0.8338;0.9591;smote;500;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 570, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=570)
DecisionTreeClassifier;0.8634;0.8715;0.8634;0.8645;0.8958;0.9071;0.8958;0.8963;0.8333;0.8357;0.8333;0.8331;0.9486;smote;500;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 943};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=943)
DecisionTreeClassifier;0.8634;0.8721;0.8634;0.8643;0.8958;0.9037;0.8958;0.8975;0.8333;0.8367;0.8333;0.8324;0.9512;smote;500;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 272};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=272)
DecisionTreeClassifier;0.8704;0.8787;0.8704;0.8714;0.875;0.8752;0.875;0.8738;0.8333;0.8333;0.8333;0.8323;0.9504;smote;500;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 10, 'random_state': 943};DecisionTreeClassifier(max_depth=10, min_samples_leaf=10, random_state=943)
DecisionTreeClassifier;0.8572;0.8655;0.8572;0.8582;0.875;0.8754;0.875;0.8751;0.8333;0.8333;0.8333;0.8323;0.9505;smote;500;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 10, 'random_state': 366};DecisionTreeClassifier(max_depth=10, min_samples_leaf=10, random_state=366)
DecisionTreeClassifier;0.8642;0.8727;0.8642;0.865;0.8333;0.8319;0.8333;0.8324;0.8333;0.8333;0.8333;0.8323;0.9534;smote;500;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 10, 'random_state': 272};DecisionTreeClassifier(max_depth=10, min_samples_leaf=10, random_state=272)
MLPClassifier;0.8465;0.855;0.8465;0.8473;0.8403;0.8456;0.8403;0.8419;0.8167;0.8234;0.8167;0.8178;0.959;smote;500;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 637, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=637)
RandomForestClassifier;0.8674;0.8715;0.8674;0.8681;0.8819;0.9029;0.8819;0.8826;0.8167;0.8304;0.8167;0.8176;0.9673;smote;500;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 641};RandomForestClassifier(n_estimators=10, random_state=641)
MLPClassifier;0.8418;0.8526;0.8418;0.8429;0.9028;0.9107;0.9028;0.9029;0.8167;0.8224;0.8167;0.8173;0.9595;smote;500;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 637, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=637)
MLPClassifier;0.8426;0.8504;0.8426;0.8438;0.8611;0.8616;0.8611;0.8612;0.8167;0.8224;0.8167;0.8173;0.9597;smote;500;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 570, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=570)
