Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;AUC;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
KNeighborsClassifier;0.7408;0.7578;0.7408;0.7428;0.8986;0.9056;0.8986;0.9002;0.85;0.855;0.85;0.8493;0.8924;smote;250;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
RandomForestClassifier;0.8487;0.8569;0.8487;0.8498;0.8551;0.8606;0.8551;0.8568;0.8333;0.8482;0.8333;0.8355;0.9517;smote;250;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 567};RandomForestClassifier(n_estimators=10, random_state=567)
RandomForestClassifier;0.8615;0.8712;0.8615;0.8614;0.7681;0.7903;0.7681;0.7711;0.8333;0.8446;0.8333;0.834;0.9551;smote;250;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 567};RandomForestClassifier(n_estimators=20, random_state=567)
RandomForestClassifier;0.8518;0.8626;0.8518;0.8529;0.8986;0.8986;0.8986;0.8986;0.8167;0.826;0.8167;0.8187;0.9582;smote;250;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 567};RandomForestClassifier(n_estimators=20, random_state=567)
DecisionTreeClassifier;0.8309;0.8361;0.8309;0.8305;0.8551;0.8544;0.8551;0.8528;0.8167;0.826;0.8167;0.8187;0.8731;smote;250;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 112};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=112)
DecisionTreeClassifier;0.8212;0.8295;0.8212;0.8204;0.8551;0.8594;0.8551;0.8565;0.8167;0.8253;0.8167;0.8183;0.8663;smote;250;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 778};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=778)
RandomForestClassifier;0.8373;0.8463;0.8373;0.8382;0.8116;0.8196;0.8116;0.812;0.8167;0.8277;0.8167;0.8175;0.9502;smote;250;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 155};RandomForestClassifier(n_estimators=20, random_state=155)
RandomForestClassifier;0.8518;0.8626;0.8518;0.8519;0.8696;0.8702;0.8696;0.8674;0.8167;0.8205;0.8167;0.8172;0.9543;smote;250;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 155};RandomForestClassifier(n_estimators=20, random_state=155)
RandomForestClassifier;0.8582;0.8631;0.8582;0.8577;0.7826;0.8059;0.7826;0.7867;0.8167;0.8273;0.8167;0.817;0.9577;smote;250;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 681};RandomForestClassifier(n_estimators=20, random_state=681)
RandomForestClassifier;0.8566;0.8639;0.8566;0.8579;0.8261;0.8271;0.8261;0.8263;0.8167;0.8215;0.8167;0.8165;0.9529;smote;250;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 681};RandomForestClassifier(n_estimators=10, random_state=681)
KNeighborsClassifier;0.723;0.7423;0.723;0.7256;0.8406;0.8658;0.8406;0.8444;0.8167;0.8215;0.8167;0.8165;0.9;smote;250;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=9, p=1, weights='distance')
KNeighborsClassifier;0.7488;0.7695;0.7488;0.7501;0.8406;0.8491;0.8406;0.8413;0.8167;0.822;0.8167;0.8148;0.8947;smote;250;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'distance'};"KNeighborsClassifier(metric='manhattan', n_neighbors=13, p=1,
                     weights='distance')"
RandomForestClassifier;0.8534;0.8642;0.8534;0.854;0.8406;0.8416;0.8406;0.8408;0.8;0.8142;0.8;0.8023;0.9607;smote;250;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 155};RandomForestClassifier(n_estimators=20, random_state=155)
