Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;AUC;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
RandomForestClassifier;0.8961;0.8987;0.8961;0.8963;0.8809;0.8858;0.8809;0.8815;0.8833;0.8868;0.8833;0.884;0.9792;smote;3000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 782};RandomForestClassifier(n_estimators=10, random_state=782)
RandomForestClassifier;0.8951;0.8984;0.8951;0.8954;0.896;0.9001;0.896;0.8963;0.85;0.862;0.85;0.8516;0.9781;smote;3000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 436};RandomForestClassifier(n_estimators=20, random_state=436)
KNeighborsClassifier;0.8792;0.8806;0.8792;0.8789;0.8881;0.8958;0.8881;0.8888;0.85;0.8523;0.85;0.8508;0.9606;smote;3000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=15, weights='distance')
RandomForestClassifier;0.8935;0.8963;0.8935;0.8935;0.8898;0.891;0.8898;0.8902;0.85;0.8554;0.85;0.8504;0.9785;smote;3000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 772};RandomForestClassifier(n_estimators=10, random_state=772)
DecisionTreeClassifier;0.8946;0.8969;0.8946;0.895;0.8904;0.8967;0.8904;0.8913;0.85;0.8554;0.85;0.8504;0.9781;smote;3000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 245};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=245)
DecisionTreeClassifier;0.8921;0.8957;0.8921;0.893;0.9004;0.9036;0.9004;0.9009;0.85;0.8554;0.85;0.8504;0.9779;smote;3000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 515};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=515)
KNeighborsClassifier;0.8719;0.8782;0.8719;0.8719;0.8859;0.8859;0.8859;0.8858;0.85;0.8544;0.85;0.8499;0.9604;smote;3000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'};"KNeighborsClassifier(metric='manhattan', n_neighbors=11, p=1,
                     weights='distance')"
KNeighborsClassifier;0.8803;0.8832;0.8803;0.8806;0.8876;0.8924;0.8876;0.8877;0.8333;0.8364;0.8333;0.8345;0.9587;smote;3000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 13, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=13, weights='distance')
MLPClassifier;0.8661;0.8682;0.8661;0.865;0.8579;0.8609;0.8579;0.8569;0.8333;0.8365;0.8333;0.8339;0.9697;smote;3000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 372, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=372)
DecisionTreeClassifier;0.8974;0.8986;0.8974;0.8979;0.8898;0.8907;0.8898;0.8902;0.8333;0.8424;0.8333;0.8336;0.9786;smote;3000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 522};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=522)
