Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;AUC;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
MLPClassifier;0.7792;0.7906;0.7792;0.7783;0.8542;0.8539;0.8542;0.8536;0.8833;0.8873;0.8833;0.8826;0.9176;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 139, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=139)
MLPClassifier;0.8164;0.8241;0.8164;0.8164;0.7986;0.8086;0.7986;0.8004;0.8833;0.8873;0.8833;0.8826;0.9345;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 160, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=160)
MLPClassifier;0.8156;0.8333;0.8156;0.8151;0.8194;0.8235;0.8194;0.819;0.8833;0.8966;0.8833;0.8819;0.934;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 150, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=150)
MLPClassifier;0.7731;0.7824;0.7731;0.7728;0.8611;0.8618;0.8611;0.8612;0.8667;0.8722;0.8667;0.8667;0.9137;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 139, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=139)
RandomForestClassifier;0.8626;0.8658;0.8626;0.8626;0.8958;0.896;0.8958;0.8958;0.8667;0.8736;0.8667;0.865;0.9649;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 346};RandomForestClassifier(n_estimators=10, random_state=346)
MLPClassifier;0.7864;0.8078;0.7864;0.7867;0.8542;0.8551;0.8542;0.8542;0.8667;0.8851;0.8667;0.864;0.9278;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 139, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=139)
MLPClassifier;0.8025;0.8185;0.8025;0.802;0.8194;0.8216;0.8194;0.8199;0.8667;0.8841;0.8667;0.8637;0.9289;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 139, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=139)
KNeighborsClassifier;0.8349;0.8406;0.8349;0.8342;0.8056;0.8103;0.8056;0.8059;0.8667;0.8841;0.8667;0.8637;0.9397;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=15, weights='distance')
RandomForestClassifier;0.8689;0.8713;0.8689;0.8685;0.8611;0.8628;0.8611;0.8603;0.8667;0.8744;0.8667;0.8628;0.9627;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 5, 'random_state': 986};RandomForestClassifier(n_estimators=5, random_state=986)
MLPClassifier;0.7971;0.8089;0.7971;0.7959;0.8264;0.8615;0.8264;0.8204;0.85;0.8634;0.85;0.8505;0.9334;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 160, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=160)
MLPClassifier;0.7615;0.7802;0.7615;0.7622;0.8264;0.8259;0.8264;0.826;0.85;0.8497;0.85;0.8495;0.9178;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 150, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=150)
MLPClassifier;0.7962;0.8087;0.7962;0.7958;0.8403;0.8408;0.8403;0.8395;0.85;0.8497;0.85;0.8495;0.9316;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 150, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=150)
MLPClassifier;0.7731;0.7913;0.7731;0.7737;0.8681;0.8688;0.8681;0.868;0.85;0.8497;0.85;0.8495;0.9183;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 160, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=160)
