Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;AUC;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
KNeighborsClassifier;0.7488;0.7642;0.7488;0.7504;0.9275;0.9336;0.9275;0.9286;0.8167;0.8448;0.8167;0.8201;0.8915;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=7, weights='distance')
DecisionTreeClassifier;0.8326;0.8377;0.8326;0.8326;0.8406;0.8397;0.8406;0.8391;0.8167;0.8205;0.8167;0.8172;0.8743;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 386};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=386)
MLPClassifier;0.7246;0.7354;0.7246;0.7258;0.8261;0.8244;0.8261;0.8234;0.8167;0.8203;0.8167;0.8162;0.9065;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 753, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=753)
KNeighborsClassifier;0.7601;0.7774;0.7601;0.7614;0.7971;0.8021;0.7971;0.7958;0.8;0.8199;0.8;0.8031;0.9068;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
RandomForestClassifier;0.8214;0.8256;0.8214;0.8209;0.8551;0.8549;0.8551;0.8547;0.8;0.8142;0.8;0.8023;0.9557;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 407};RandomForestClassifier(n_estimators=20, random_state=407)
SVC;0.694;0.7241;0.694;0.6945;0.6667;0.744;0.6667;0.6648;0.8;0.8089;0.8;0.8023;0.8716;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'C': 10, 'kernel': 'rbf', 'random_state': 887};SVC(C=10, probability=True, random_state=887)
RandomForestClassifier;0.8503;0.8587;0.8503;0.8507;0.7971;0.8083;0.7971;0.7916;0.8;0.8042;0.8;0.801;0.9528;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 154};RandomForestClassifier(n_estimators=20, random_state=154)
KNeighborsClassifier;0.7472;0.7583;0.7472;0.7481;0.8986;0.9069;0.8986;0.9001;0.8;0.8226;0.8;0.801;0.8989;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.7184;0.732;0.7184;0.7198;0.8841;0.8833;0.8841;0.8834;0.8;0.8171;0.8;0.8007;0.8925;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=9, p=1, weights='distance')
SVC;0.6891;0.7338;0.6891;0.6876;0.8406;0.8429;0.8406;0.8415;0.8;0.8021;0.8;0.8007;0.8611;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'C': 10, 'kernel': 'rbf', 'random_state': 887};SVC(C=10, probability=True, random_state=887)
DecisionTreeClassifier;0.8308;0.8341;0.8308;0.8309;0.7971;0.8116;0.7971;0.8012;0.8;0.8057;0.8;0.8003;0.8732;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 872};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=872)
DecisionTreeClassifier;0.8115;0.8148;0.8115;0.8108;0.8841;0.8864;0.8841;0.8827;0.8;0.7989;0.8;0.7991;0.8586;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 386};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=386)
MLPClassifier;0.7229;0.7365;0.7229;0.7222;0.7681;0.7811;0.7681;0.7717;0.8;0.799;0.8;0.7985;0.9107;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 683, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=683)
RandomForestClassifier;0.8422;0.8484;0.8422;0.8425;0.8116;0.8227;0.8116;0.813;0.7833;0.7963;0.7833;0.7863;0.9595;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 5, 'random_state': 154};RandomForestClassifier(n_estimators=5, random_state=154)
SVC;0.6907;0.7258;0.6907;0.6893;0.6957;0.7265;0.6957;0.702;0.7833;0.797;0.7833;0.7862;0.8751;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'C': 10, 'kernel': 'rbf', 'random_state': 939};SVC(C=10, probability=True, random_state=939)
SVC;0.6877;0.7125;0.6877;0.686;0.7101;0.7274;0.7101;0.7123;0.7833;0.797;0.7833;0.7862;0.8667;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'C': 10, 'kernel': 'rbf', 'random_state': 365};SVC(C=10, probability=True, random_state=365)
DecisionTreeClassifier;0.8036;0.8087;0.8036;0.8023;0.7826;0.7804;0.7826;0.7813;0.7833;0.7905;0.7833;0.7844;0.8527;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 41};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=41)
